,Flicker,Flicker_with_Sag,Flicker_with_Swell,Harmonics,Harmonics_with_Sag,Harmonics_with_Swell,Interruption,Notch,Oscillatory_Transient,Pure_Sinusoidal,Sag,Sag_with_Harmonics,Sag_with_Oscillatory_Transient,Swell,Swell_with_Harmonics,Swell_with_Oscillatory_Transient,Transient
Flicker,195,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Flicker_with_Sag,1,183,3,0,0,0,0,0,0,0,6,0,1,0,0,0,6
Flicker_with_Swell,4,8,180,0,0,0,0,0,0,1,1,0,0,3,2,1,0
Harmonics,0,0,0,199,1,0,0,0,0,0,0,0,0,0,0,0,0
Harmonics_with_Sag,0,0,0,0,178,15,0,0,0,0,0,6,0,0,1,0,0
Harmonics_with_Swell,0,0,0,0,7,188,0,0,0,0,0,0,0,0,5,0,0
Interruption,0,1,0,0,0,0,194,0,0,0,4,0,0,0,0,0,1
Notch,0,0,1,0,0,0,0,186,0,0,0,0,0,0,0,0,13
Oscillatory_Transient,8,0,0,0,0,0,0,0,171,0,1,1,4,0,0,11,4
Pure_Sinusoidal,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
Sag,0,0,0,0,0,0,7,2,0,4,176,0,0,11,0,0,0
Sag_with_Harmonics,1,26,0,0,15,1,0,0,0,0,0,149,1,0,3,0,4
Sag_with_Oscillatory_Transient,0,1,0,0,0,0,0,0,22,0,0,0,163,0,0,11,3
Swell,0,0,0,0,0,0,0,0,0,7,6,0,0,187,0,0,0
Swell_with_Harmonics,3,0,39,0,0,3,0,0,0,0,0,2,0,1,152,0,0
Swell_with_Oscillatory_Transient,0,0,7,0,0,1,0,0,18,0,0,0,3,0,1,170,0
Transient,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,180
