,Flicker,Flicker_with_Sag,Flicker_with_Swell,Harmonics,Harmonics_with_Sag,Harmonics_with_Swell,Interruption,Notch,Oscillatory_Transient,Pure_Sinusoidal,Sag,Sag_with_Harmonics,Sag_with_Oscillatory_Transient,Swell,Swell_with_Harmonics,Swell_with_Oscillatory_Transient,Transient
Flicker,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flicker_with_Sag,0,172,0,0,7,0,1,0,0,0,9,10,0,0,1,0,0
Flicker_with_Swell,0,1,149,0,0,1,0,0,0,0,0,0,0,18,29,2,0
Harmonics,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmonics_with_Sag,0,17,0,0,165,0,0,0,0,0,3,15,0,0,0,0,0
Harmonics_with_Swell,0,0,2,0,1,188,0,0,0,0,0,0,0,1,5,3,0
Interruption,0,2,0,0,0,0,195,0,0,0,3,0,0,0,0,0,0
Notch,0,0,0,0,0,0,0,189,2,0,0,0,2,0,0,0,7
Oscillatory_Transient,0,0,0,0,0,0,0,4,188,0,0,0,1,0,1,4,2
Pure_Sinusoidal,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
Sag,0,0,0,0,0,0,5,0,0,0,194,1,0,0,0,0,0
Sag_with_Harmonics,0,5,0,0,2,0,0,1,1,0,6,180,4,0,0,0,1
Sag_with_Oscillatory_Transient,0,0,0,0,0,0,1,0,7,0,0,12,180,0,0,0,0
Swell,0,0,6,0,0,0,0,0,0,1,0,0,0,186,6,1,0
Swell_with_Harmonics,0,3,50,0,0,9,0,0,0,0,0,0,0,14,122,2,0
Swell_with_Oscillatory_Transient,0,0,5,0,0,0,0,0,3,0,0,0,0,3,10,178,1
Transient,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,195
